Pile ID	Distribution Type	X-Position	Y-Position	Collection Time	Ant ID
0	0	2.78872	8.05993	8576	18
0	0	1.38178	8.79724	-1	-1
0	0	6.68024	2.31541	-1	-1
0	0	-5.20822	-4.83507	-1	-1
0	0	8.17475	4.20003	5216	4
0	0	9.14244	9.15068	-1	-1
0	0	-8.33171	-8.14569	25448	18
0	0	-2.98824	7.37374	49008	4
0	0	-5.5816	9.18816	27480	10
0	0	4.14831	6.80131	48704	7
0	0	3.48162	9.44787	10872	8
0	0	2.41958	7.50018	-1	-1
0	0	-1.83321	8.43083	-1	-1
0	0	0.170641	3.76236	3376	3
0	0	4.89301	-0.9575	42928	4
0	0	-6.28194	4.24805	-1	-1
0	0	-4.4761	-0.317132	-1	-1
0	0	2.03016	2.73555	31176	9
0	0	-6.46586	-4.22309	-1	-1
0	0	-5.66427	-3.20998	22752	10
0	0	-7.3091	3.3936	8752	8
0	0	1.10168	-8.67644	15424	12
0	0	3.91478	-0.301205	-1	-1
0	0	6.90281	3.3932	-1	-1
0	0	6.95955	-2.7017	-1	-1
0	0	3.88385	5.14487	43024	11
0	0	6.03216	-2.57609	-1	-1
0	0	3.18047	8.44339	-1	-1
0	0	0.744954	0.61107	21376	13
0	0	-0.28586	-5.49373	43576	0
0	0	-6.21529	-3.22066	-1	-1
0	0	-3.32818	9.4777	15224	5
0	0	-3.71111	2.74319	19864	5
0	0	-3.89334	7.37102	34352	14
0	0	1.97605	4.21067	1016	14
0	0	1.73593	2.41123	-1	-1
0	0	7.60158	1.31015	11704	6
0	0	5.3697	-1.98402	-1	-1
0	0	5.55603	-1.57933	25344	13
0	0	-3.69815	5.37105	-1	-1
0	0	7.60068	-6.24518	-1	-1
0	0	-7.21233	7.58367	-1	-1
0	0	5.34394	5.6655	41088	12
0	0	-1.90246	-9.41694	18920	14
0	0	-9.34761	4.4112	9224	3
0	0	-5.01373	9.43014	-1	-1
0	0	-7.10256	1.99475	-1	-1
0	0	7.83699	-4.91211	-1	-1
0	0	-2.04823	-7.05545	-1	-1
0	0	8.94979	8.92154	13592	10
0	0	9.72274	1.4418	27664	9
0	0	6.59009	-2.30876	-1	-1
0	0	-7.06116	5.5509	-1	-1
0	0	8.56873	5.06744	2544	18
0	0	5.21825	6.32191	53432	5
0	0	-3.25742	-6.09355	-1	-1
0	0	3.40246	-0.427776	27600	17
0	0	-8.2268	8.85003	40816	13
0	0	1.22113	-0.189782	-1	-1
0	0	-0.298522	5.06901	1056	7
0	0	-4.00577	9.48952	-1	-1
0	0	3.08313	0.798809	560	15
0	0	9.40279	-4.69069	-1	-1
0	0	-3.0773	7.61479	40744	4
0	0	3.81425	9.55678	-1	-1
0	0	-2.66796	-1.79946	-1	-1
0	0	4.45111	-8.56157	12680	11
0	0	-8.43283	2.63277	51008	3
0	0	-1.5557	7.11769	38720	16
0	0	-6.77794	9.22409	31216	2
0	0	-5.54066	-8.2573	34104	13
0	0	6.60147	9.09168	-1	-1
0	0	-5.55082	5.34775	-1	-1
0	0	7.2525	6.73488	6688	6
0	0	-5.32143	3.94467	-1	-1
0	0	1.57152	-2.25731	42336	16
0	0	-0.236658	6.44472	-1	-1
0	0	1.49608	-3.67926	11720	8
0	0	8.77494	-8.64534	-1	-1
0	0	7.59756	-5.38338	-1	-1
0	0	-8.02856	5.24085	-1	-1
0	0	4.78454	-8.4608	-1	-1
0	0	-9.27569	-4.71086	-1	-1
0	0	2.31388	7.75352	-1	-1
0	0	3.11759	6.34465	-1	-1
0	0	7.9611	-9.0243	15824	14
